drugname_norm,score,rxnorm_name_best,ingredient_name,accepted_by,has_rxnorm_name,stratum
RYBELSUS 14 MG TABLET,15.204492568969727,semaglutide 14 MG Oral Tablet [Rybelsus],"Rybelsus,Oral Tablet,Oral Product,Pill,semaglutide,semaglutide 14 MG Oral Tablet [Rybelsus],semaglutide 14 MG [Rybelsus],semaglutide Oral Tablet [Rybelsus],Rybelsus Oral Product,Rybelsus Pill,semaglutide 14 MG Oral Tablet,semaglutide 14 MG,semaglutide Oral Tablet,semaglutide Oral Product,semaglutide Pill",>=min,TRUE,9.5-10.0
DULAGLUTIDE 0.75MG/0.5ML,14.977652042865754,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector,"Trulicity,Auto-Injector,Injectable Product,dulaglutide,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector [Trulicity],dulaglutide 1.5 MG/ML [Trulicity],dulaglutide Auto-Injector [Trulicity],Trulicity Injectable Product,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector,dulaglutide 1.5 MG/ML,dulaglutide Auto-Injector,dulaglutide Injectable Product",>=min,TRUE,9.5-10.0
OZEMPIC INJ 8MG/3ML,13.829000659399044,3 ML semaglutide 2.68 MG/ML Pen Injector [Ozempic],"Ozempic,Pen Injector,Injectable Product,semaglutide,3 ML semaglutide 2.68 MG/ML Pen Injector [Ozempic],semaglutide 2.68 MG/ML [Ozempic],semaglutide Pen Injector [Ozempic],Ozempic Injectable Product,3 ML semaglutide 2.68 MG/ML Pen Injector,semaglutide 2.68 MG/ML,semaglutide Pen Injector,semaglutide Injectable Product",>=min,TRUE,9.5-10.0
TRULICITY SOA,14.034219741821289,Trulicity,"Trulicity,Auto-Injector,Injectable Product,dulaglutide,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector [Trulicity],0.5 ML dulaglutide 3 MG/ML Auto-Injector [Trulicity],0.5 ML dulaglutide 6 MG/ML Auto-Injector [Trulicity],0.5 ML dulaglutide 9 MG/ML Auto-Injector [Trulicity],dulaglutide 1.5 MG/ML [Trulicity],dulaglutide 3 MG/ML [Trulicity],dulaglutide 6 MG/ML [Trulicity],dulaglutide 9 MG/ML [Trulicity],dulaglutide Auto-Injector [Trulicity],Trulicity Injectable Product,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector,0.5 ML dulaglutide 3 MG/ML Auto-Injector,0.5 ML dulaglutide 6 MG/ML Auto-Injector,0.5 ML dulaglutide 9 MG/ML Auto-Injector,dulaglutide 1.5 MG/ML,dulaglutide 3 MG/ML,dulaglutide 6 MG/ML,dulaglutide 9 MG/ML,dulaglutide Auto-Injector,dulaglutide Injectable Product",>=min,TRUE,9.5-10.0
NADIDE\SEMAGLUTIDE,12.885526657104492,semaglutide,semaglutide,>=min,TRUE,9.5-10.0
SUMAGLUTIDE,9.838314056396484,semaglutide,semaglutide,>=min,TRUE,9.5-10.0
VICTOZA IN,14.718400955200195,Victoza,"Victoza,Pen Injector,Injectable Product,liraglutide,3 ML liraglutide 6 MG/ML Pen Injector [Victoza],liraglutide 6 MG/ML [Victoza],liraglutide Pen Injector [Victoza],Victoza Injectable Product,3 ML liraglutide 6 MG/ML Pen Injector,liraglutide 6 MG/ML,liraglutide Pen Injector,liraglutide Injectable Product",>=min,TRUE,9.5-10.0
BYETTA (EXENATIDE),18.07692312717438,exenatide Pen Injector [Byetta],"Byetta,Pen Injector,Injectable Product,exenatide,60 ACTUAT exenatide 0.01 MG/ACTUAT Pen Injector [Byetta],60 ACTUAT exenatide 0.005 MG/ACTUAT Pen Injector [Byetta],exenatide 0.01 MG/ACTUAT [Byetta],exenatide 0.005 MG/ACTUAT [Byetta],exenatide Pen Injector [Byetta],Byetta Injectable Product,60 ACTUAT exenatide 0.01 MG/ACTUAT Pen Injector,60 ACTUAT exenatide 0.005 MG/ACTUAT Pen Injector,exenatide 0.01 MG/ACTUAT,exenatide 0.005 MG/ACTUAT,exenatide Pen Injector,exenatide Injectable Product",>=min,TRUE,9.5-10.0
XULTOPHY SOP 100-3.6UNIT,14.790782738204172,3 ML insulin degludec 100 UNT/ML / liraglutide 3.6 MG/ML Pen Injector [Xultophy],"Xultophy,Pen Injector,Injectable Product,insulin degludec,liraglutide,insulin degludec / liraglutide,3 ML insulin degludec 100 UNT/ML / liraglutide 3.6 MG/ML Pen Injector [Xultophy],insulin degludec 100 UNT/ML / liraglutide 3.6 MG/ML [Xultophy],insulin degludec / liraglutide Pen Injector [Xultophy],Xultophy Injectable Product,3 ML insulin degludec 100 UNT/ML / liraglutide 3.6 MG/ML Pen Injector,insulin degludec 100 UNT/ML,liraglutide 3.6 MG/ML,insulin degludec / liraglutide Pen Injector,insulin degludec / liraglutide Injectable Product",>=min,TRUE,9.5-10.0
SAXENDA - VICTOZA,14.783894538879395,Saxenda,"Saxenda,Pen Injector,Injectable Product,liraglutide,3 ML liraglutide 6 MG/ML Pen Injector [Saxenda],liraglutide 6 MG/ML [Saxenda],liraglutide Pen Injector [Saxenda],Saxenda Injectable Product,3 ML liraglutide 6 MG/ML Pen Injector,liraglutide 6 MG/ML,liraglutide Pen Injector,liraglutide Injectable Product",>=min,TRUE,9.5-10.0
OZEMPIC 0.5MG SC PEN,13.847709655761719,semaglutide Pen Injector [Ozempic],"Ozempic,Pen Injector,Injectable Product,semaglutide,0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],1 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],3 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],3 ML semaglutide 2.68 MG/ML Pen Injector [Ozempic],0.25 MG, 0.5 MG Dose 3 ML semaglutide 0.68 MG/ML Pen Injector [Ozempic],semaglutide 1.34 MG/ML [Ozempic],semaglutide 2.68 MG/ML [Ozempic],semaglutide 0.68 MG/ML [Ozempic],semaglutide Pen Injector [Ozempic],Ozempic Injectable Product,0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector,1 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector,3 ML semaglutide 1.34 MG/ML Pen Injector,3 ML semaglutide 2.68 MG/ML Pen Injector,0.25 MG, 0.5 MG Dose 3 ML semaglutide 0.68 MG/ML Pen Injector,semaglutide 1.34 MG/ML,semaglutide 2.68 MG/ML,semaglutide 0.68 MG/ML,semaglutide Pen Injector,semaglutide Injectable Product",>=min,TRUE,9.5-10.0
TRULICITY PEN 0.75/0.5 ML SUBCUT SOLUTION,18.016090393066406,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector [Trulicity],"Trulicity,Auto-Injector,Injectable Product,dulaglutide,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector [Trulicity],dulaglutide 1.5 MG/ML [Trulicity],dulaglutide Auto-Injector [Trulicity],Trulicity Injectable Product,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector,dulaglutide 1.5 MG/ML,dulaglutide Auto-Injector,dulaglutide Injectable Product",>=min,TRUE,9.5-10.0
OZEMPIC 1 MG/DOSE (4 MG/3 ML),15.232576129913332,3 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],"Ozempic,Pen Injector,Injectable Product,semaglutide,3 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],semaglutide 1.34 MG/ML [Ozempic],semaglutide Pen Injector [Ozempic],Ozempic Injectable Product,3 ML semaglutide 1.34 MG/ML Pen Injector,semaglutide 1.34 MG/ML,semaglutide Pen Injector,semaglutide Injectable Product",>=min,TRUE,9.5-10.0
TRULICITY 0.75MG/0.5ML,14.73614924512768,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector [Trulicity],"Trulicity,Auto-Injector,Injectable Product,dulaglutide,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector [Trulicity],dulaglutide 1.5 MG/ML [Trulicity],dulaglutide Auto-Injector [Trulicity],Trulicity Injectable Product,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector,dulaglutide 1.5 MG/ML,dulaglutide Auto-Injector,dulaglutide Injectable Product",>=min,TRUE,9.5-10.0
OZEMPIC 1MG INJECTION,12.508604049682617,Ozempic Injectable Product,"Ozempic,Pen Injector,Injectable Product,semaglutide,0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],1 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],3 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],3 ML semaglutide 2.68 MG/ML Pen Injector [Ozempic],0.25 MG, 0.5 MG Dose 3 ML semaglutide 0.68 MG/ML Pen Injector [Ozempic],semaglutide 1.34 MG/ML [Ozempic],semaglutide 2.68 MG/ML [Ozempic],semaglutide 0.68 MG/ML [Ozempic],semaglutide Pen Injector [Ozempic],Ozempic Injectable Product,0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector,1 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector,3 ML semaglutide 1.34 MG/ML Pen Injector,3 ML semaglutide 2.68 MG/ML Pen Injector,0.25 MG, 0.5 MG Dose 3 ML semaglutide 0.68 MG/ML Pen Injector,semaglutide 1.34 MG/ML,semaglutide 2.68 MG/ML,semaglutide 0.68 MG/ML,semaglutide Pen Injector,semaglutide Injectable Product",>=min,TRUE,9.5-10.0
BYDUREON BCISE 2MG/0.85ML,19.798171237467606,0.85 ML exenatide 2.35 MG/ML Auto-Injector [Bydureon],"Bydureon,Auto-Injector,Injectable Product,exenatide,0.85 ML exenatide 2.35 MG/ML Auto-Injector [Bydureon],exenatide 2.35 MG/ML [Bydureon],exenatide Auto-Injector [Bydureon],Bydureon Injectable Product,0.85 ML exenatide 2.35 MG/ML Auto-Injector,exenatide 2.35 MG/ML,exenatide Auto-Injector,exenatide Injectable Product",>=min,TRUE,9.5-10.0
LIRAGLUTIDUM,9.623665809631348,liraglutide,liraglutide,>=min,TRUE,9.5-10.0
"TRULICITY 1,5MG INJEKTIONSL?SUNG IN EINEM FERTIGPEN",12.034219741821289,Trulicity,"Trulicity,Auto-Injector,Injectable Product,dulaglutide,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector [Trulicity],0.5 ML dulaglutide 3 MG/ML Auto-Injector [Trulicity],0.5 ML dulaglutide 6 MG/ML Auto-Injector [Trulicity],0.5 ML dulaglutide 9 MG/ML Auto-Injector [Trulicity],dulaglutide 1.5 MG/ML [Trulicity],dulaglutide 3 MG/ML [Trulicity],dulaglutide 6 MG/ML [Trulicity],dulaglutide 9 MG/ML [Trulicity],dulaglutide Auto-Injector [Trulicity],Trulicity Injectable Product,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector,0.5 ML dulaglutide 3 MG/ML Auto-Injector,0.5 ML dulaglutide 6 MG/ML Auto-Injector,0.5 ML dulaglutide 9 MG/ML Auto-Injector,dulaglutide 1.5 MG/ML,dulaglutide 3 MG/ML,dulaglutide 6 MG/ML,dulaglutide 9 MG/ML,dulaglutide Auto-Injector,dulaglutide Injectable Product",>=min,TRUE,9.5-10.0
TANZEUM PEN-INJECTOR,26.30767822265625,albiglutide Pen Injector [Tanzeum],"Tanzeum,Pen Injector,Injectable Product,albiglutide,0.5 ML albiglutide 60 MG/ML Pen Injector [Tanzeum],0.5 ML albiglutide 100 MG/ML Pen Injector [Tanzeum],albiglutide 60 MG/ML [Tanzeum],albiglutide 100 MG/ML [Tanzeum],albiglutide Pen Injector [Tanzeum],Tanzeum Injectable Product,0.5 ML albiglutide 60 MG/ML Pen Injector,0.5 ML albiglutide 100 MG/ML Pen Injector,albiglutide 60 MG/ML,albiglutide 100 MG/ML,albiglutide Pen Injector,albiglutide Injectable Product",>=min,TRUE,9.5-10.0
"SEMAGLUTIDE (SEMAGLUTIDE 0.5MLG/0.375ML INJ, SOLN, PEN,1.5MLP",21.397052764892578,"0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector","Ozempic,Pen Injector,Injectable Product,semaglutide,0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],semaglutide 1.34 MG/ML [Ozempic],semaglutide Pen Injector [Ozempic],Ozempic Injectable Product,0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector,semaglutide 1.34 MG/ML,semaglutide Pen Injector,semaglutide Injectable Product",>=min,TRUE,9.5-10.0
AZATHIOPRINE TRULICITY,14.034219741821289,Trulicity,"Trulicity,Auto-Injector,Injectable Product,dulaglutide,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector [Trulicity],0.5 ML dulaglutide 3 MG/ML Auto-Injector [Trulicity],0.5 ML dulaglutide 6 MG/ML Auto-Injector [Trulicity],0.5 ML dulaglutide 9 MG/ML Auto-Injector [Trulicity],dulaglutide 1.5 MG/ML [Trulicity],dulaglutide 3 MG/ML [Trulicity],dulaglutide 6 MG/ML [Trulicity],dulaglutide 9 MG/ML [Trulicity],dulaglutide Auto-Injector [Trulicity],Trulicity Injectable Product,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector,0.5 ML dulaglutide 3 MG/ML Auto-Injector,0.5 ML dulaglutide 6 MG/ML Auto-Injector,0.5 ML dulaglutide 9 MG/ML Auto-Injector,dulaglutide 1.5 MG/ML,dulaglutide 3 MG/ML,dulaglutide 6 MG/ML,dulaglutide 9 MG/ML,dulaglutide Auto-Injector,dulaglutide Injectable Product",>=min,TRUE,9.5-10.0
VICTOZA 6MG/ML INJEKTIONSLOESUNG IN EINEM FERTIGPEN,14.041428565979004,liraglutide 6 MG/ML [Victoza],"Victoza,Pen Injector,Injectable Product,liraglutide,3 ML liraglutide 6 MG/ML Pen Injector [Victoza],liraglutide 6 MG/ML [Victoza],liraglutide Pen Injector [Victoza],Victoza Injectable Product,3 ML liraglutide 6 MG/ML Pen Injector,liraglutide 6 MG/ML,liraglutide Pen Injector,liraglutide Injectable Product",>=min,TRUE,9.5-10.0
VICTOZA SOP 18MG/3ML,15.511190975930088,3 ML liraglutide 6 MG/ML Pen Injector [Victoza],"Victoza,Pen Injector,Injectable Product,liraglutide,3 ML liraglutide 6 MG/ML Pen Injector [Victoza],liraglutide 6 MG/ML [Victoza],liraglutide Pen Injector [Victoza],Victoza Injectable Product,3 ML liraglutide 6 MG/ML Pen Injector,liraglutide 6 MG/ML,liraglutide Pen Injector,liraglutide Injectable Product",>=min,TRUE,9.5-10.0
"DULAGLUTIDE (DULAGLUTIDE 0.75MG/0.5ML INJ,SOLN,PEN)",22.810245513916016,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector,"Trulicity,Auto-Injector,Injectable Product,dulaglutide,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector [Trulicity],dulaglutide 1.5 MG/ML [Trulicity],dulaglutide Auto-Injector [Trulicity],Trulicity Injectable Product,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector,dulaglutide 1.5 MG/ML,dulaglutide Auto-Injector,dulaglutide Injectable Product",>=min,TRUE,9.5-10.0
OZEMPIC INJ 2MG/3ML,12.641718603012958,3 ML semaglutide 2.68 MG/ML Pen Injector [Ozempic],"Ozempic,Pen Injector,Injectable Product,semaglutide,3 ML semaglutide 2.68 MG/ML Pen Injector [Ozempic],semaglutide 2.68 MG/ML [Ozempic],semaglutide Pen Injector [Ozempic],Ozempic Injectable Product,3 ML semaglutide 2.68 MG/ML Pen Injector,semaglutide 2.68 MG/ML,semaglutide Pen Injector,semaglutide Injectable Product",>=min,TRUE,9.5-10.0
"SEMAGLUTIDE (SEMAGLUTIDE 0.5/0.375 ML INJ, SOLN, PEN 1.5ML",23.783628463745117,"0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector","Ozempic,Pen Injector,Injectable Product,semaglutide,0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],semaglutide 1.34 MG/ML [Ozempic],semaglutide Pen Injector [Ozempic],Ozempic Injectable Product,0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector,semaglutide 1.34 MG/ML,semaglutide Pen Injector,semaglutide Injectable Product",>=min,TRUE,9.5-10.0
BLINDED LIXISENATIDE,13.787429809570312,lixisenatide,lixisenatide,>=min,TRUE,9.5-10.0
TRULICITY SHOT,14.034219741821289,Trulicity,"Trulicity,Auto-Injector,Injectable Product,dulaglutide,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector [Trulicity],0.5 ML dulaglutide 3 MG/ML Auto-Injector [Trulicity],0.5 ML dulaglutide 6 MG/ML Auto-Injector [Trulicity],0.5 ML dulaglutide 9 MG/ML Auto-Injector [Trulicity],dulaglutide 1.5 MG/ML [Trulicity],dulaglutide 3 MG/ML [Trulicity],dulaglutide 6 MG/ML [Trulicity],dulaglutide 9 MG/ML [Trulicity],dulaglutide Auto-Injector [Trulicity],Trulicity Injectable Product,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector,0.5 ML dulaglutide 3 MG/ML Auto-Injector,0.5 ML dulaglutide 6 MG/ML Auto-Injector,0.5 ML dulaglutide 9 MG/ML Auto-Injector,dulaglutide 1.5 MG/ML,dulaglutide 3 MG/ML,dulaglutide 6 MG/ML,dulaglutide 9 MG/ML,dulaglutide Auto-Injector,dulaglutide Injectable Product",>=min,TRUE,9.5-10.0
VICTOZA 3-PAK,12.718400955200195,Victoza,"Victoza,Pen Injector,Injectable Product,liraglutide,3 ML liraglutide 6 MG/ML Pen Injector [Victoza],liraglutide 6 MG/ML [Victoza],liraglutide Pen Injector [Victoza],Victoza Injectable Product,3 ML liraglutide 6 MG/ML Pen Injector,liraglutide 6 MG/ML,liraglutide Pen Injector,liraglutide Injectable Product",>=min,TRUE,9.5-10.0
TRULICITY (ALTHOUGH WE CAN^T GET THIS RIGHT NOW),14.034219741821289,Trulicity,"Trulicity,Auto-Injector,Injectable Product,dulaglutide,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector [Trulicity],0.5 ML dulaglutide 3 MG/ML Auto-Injector [Trulicity],0.5 ML dulaglutide 6 MG/ML Auto-Injector [Trulicity],0.5 ML dulaglutide 9 MG/ML Auto-Injector [Trulicity],dulaglutide 1.5 MG/ML [Trulicity],dulaglutide 3 MG/ML [Trulicity],dulaglutide 6 MG/ML [Trulicity],dulaglutide 9 MG/ML [Trulicity],dulaglutide Auto-Injector [Trulicity],Trulicity Injectable Product,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector,0.5 ML dulaglutide 3 MG/ML Auto-Injector,0.5 ML dulaglutide 6 MG/ML Auto-Injector,0.5 ML dulaglutide 9 MG/ML Auto-Injector,dulaglutide 1.5 MG/ML,dulaglutide 3 MG/ML,dulaglutide 6 MG/ML,dulaglutide 9 MG/ML,dulaglutide Auto-Injector,dulaglutide Injectable Product",>=min,TRUE,9.5-10.0
LIRAGLUTIDE INJECTION,14.019425493717195,liraglutide Injectable Product,"Saxenda,Victoza,Pen Injector,Injectable Product,liraglutide,3 ML liraglutide 6 MG/ML Pen Injector [Saxenda],3 ML liraglutide 6 MG/ML Pen Injector [Victoza],liraglutide 6 MG/ML [Saxenda],liraglutide 6 MG/ML [Victoza],liraglutide Pen Injector [Victoza],liraglutide Pen Injector [Saxenda],Victoza Injectable Product,Saxenda Injectable Product,3 ML liraglutide 6 MG/ML Pen Injector,liraglutide 6 MG/ML,liraglutide Pen Injector,liraglutide Injectable Product",>=min,TRUE,9.5-10.0
"EXENATIDE PEN, DISPOSABLE DEVICE",16.015384674072266,exenatide Pen Injector,"Byetta,Pen Injector,Injectable Product,exenatide,60 ACTUAT exenatide 0.01 MG/ACTUAT Pen Injector [Byetta],60 ACTUAT exenatide 0.005 MG/ACTUAT Pen Injector [Byetta],exenatide 0.01 MG/ACTUAT [Byetta],exenatide 0.005 MG/ACTUAT [Byetta],exenatide Pen Injector [Byetta],Byetta Injectable Product,Bydureon Injectable Product,60 ACTUAT exenatide 0.01 MG/ACTUAT Pen Injector,60 ACTUAT exenatide 0.005 MG/ACTUAT Pen Injector,exenatide 0.01 MG/ACTUAT,exenatide 0.005 MG/ACTUAT,exenatide Pen Injector,exenatide Injectable Product",>=min,TRUE,9.5-10.0
WEGOVY (SEMAGLUTIDE) 0.25MG/0.5ML,17.714295648902418,0.5 ML semaglutide 0.5 MG/ML Auto-Injector [Wegovy],"Wegovy,Auto-Injector,Injectable Product,semaglutide,0.5 ML semaglutide 0.5 MG/ML Auto-Injector [Wegovy],semaglutide 0.5 MG/ML [Wegovy],semaglutide Auto-Injector [Wegovy],Wegovy Injectable Product,0.5 ML semaglutide 0.5 MG/ML Auto-Injector,semaglutide 0.5 MG/ML,semaglutide Auto-Injector,semaglutide Injectable Product",>=min,TRUE,9.5-10.0
XULTOPHY SOP,15.077795028686523,Xultophy,"Xultophy,Pen Injector,Injectable Product,insulin degludec,liraglutide,insulin degludec / liraglutide,3 ML insulin degludec 100 UNT/ML / liraglutide 3.6 MG/ML Pen Injector [Xultophy],insulin degludec 100 UNT/ML / liraglutide 3.6 MG/ML [Xultophy],insulin degludec / liraglutide Pen Injector [Xultophy],Xultophy Injectable Product,3 ML insulin degludec 100 UNT/ML / liraglutide 3.6 MG/ML Pen Injector,insulin degludec 100 UNT/ML,liraglutide 3.6 MG/ML,insulin degludec / liraglutide Pen Injector,insulin degludec / liraglutide Injectable Product",>=min,TRUE,9.5-10.0
VICTOZA? (LIRAGLUTIDE [RDNA ORIGIN] INJECTION),19.901973724365234,liraglutide,liraglutide,>=min,TRUE,9.5-10.0
INSULIN-GLARGINE/LIXISENATIDE,29.595903396606445,insulin glargine / lixisenatide,"Soliqua,Pen Injector,Injectable Product,lixisenatide,insulin glargine,insulin glargine / lixisenatide,3 ML insulin glargine 100 UNT/ML / lixisenatide 0.033 MG/ML Pen Injector [Soliqua],insulin glargine 100 UNT/ML / lixisenatide 0.033 MG/ML [Soliqua],insulin glargine / lixisenatide Pen Injector [Soliqua],Soliqua Injectable Product,3 ML insulin glargine 100 UNT/ML / lixisenatide 0.033 MG/ML Pen Injector,lixisenatide 0.033 MG/ML,insulin glargine 100 UNT/ML,insulin glargine / lixisenatide Pen Injector,insulin glargine / lixisenatide Injectable Product",>=min,TRUE,9.5-10.0
"LIRAGLUTIDE (LIRAGLUTIDE (VICTOZA) 6MG/ML INJ, SOLN, PEN, 3ML",26.38747215270996,3 ML liraglutide 6 MG/ML Pen Injector [Victoza],"Victoza,Pen Injector,Injectable Product,liraglutide,3 ML liraglutide 6 MG/ML Pen Injector [Victoza],liraglutide 6 MG/ML [Victoza],liraglutide Pen Injector [Victoza],Victoza Injectable Product,3 ML liraglutide 6 MG/ML Pen Injector,liraglutide 6 MG/ML,liraglutide Pen Injector,liraglutide Injectable Product",>=min,TRUE,9.5-10.0
PYRIDOXINE\TIRZEPATIDE,12.608393669128418,tirzepatide,tirzepatide,>=min,TRUE,9.5-10.0
INJECTION OF VICTOZA,15.08281135559082,Victoza Injectable Product,"Victoza,Pen Injector,Injectable Product,liraglutide,3 ML liraglutide 6 MG/ML Pen Injector [Victoza],liraglutide 6 MG/ML [Victoza],liraglutide Pen Injector [Victoza],Victoza Injectable Product,3 ML liraglutide 6 MG/ML Pen Injector,liraglutide 6 MG/ML,liraglutide Pen Injector,liraglutide Injectable Product",>=min,TRUE,9.5-10.0
"DULAGLUTIDE (DULAGLUTIDE 0.75MG/0.5ML INJ, SOLN PEN)",22.810245513916016,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector,"Trulicity,Auto-Injector,Injectable Product,dulaglutide,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector [Trulicity],dulaglutide 1.5 MG/ML [Trulicity],dulaglutide Auto-Injector [Trulicity],Trulicity Injectable Product,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector,dulaglutide 1.5 MG/ML,dulaglutide Auto-Injector,dulaglutide Injectable Product",>=min,TRUE,9.5-10.0
MOUNJARO AUTOINJECTOR 2.5M,11.476278305053711,Mounjaro,"Mounjaro,Auto-Injector,Injection,Injectable Product,tirzepatide,0.5 ML tirzepatide 10 MG/ML Auto-Injector [Mounjaro],0.5 ML tirzepatide 30 MG/ML Auto-Injector [Mounjaro],0.5 ML tirzepatide 5 MG/ML Auto-Injector [Mounjaro],0.5 ML tirzepatide 20 MG/ML Auto-Injector [Mounjaro],0.5 ML tirzepatide 25 MG/ML Auto-Injector [Mounjaro],0.5 ML tirzepatide 15 MG/ML Auto-Injector [Mounjaro],0.5 ML tirzepatide 15 MG/ML Injection [Mounjaro],0.5 ML tirzepatide 10 MG/ML Injection [Mounjaro],0.5 ML tirzepatide 5 MG/ML Injection [Mounjaro],0.5 ML tirzepatide 30 MG/ML Injection [Mounjaro],0.5 ML tirzepatide 25 MG/ML Injection [Mounjaro],0.5 ML tirzepatide 20 MG/ML Injection [Mounjaro],tirzepatide 10 MG/ML [Mounjaro],tirzepatide 30 MG/ML [Mounjaro],tirzepatide 5 MG/ML [Mounjaro],tirzepatide 20 MG/ML [Mounjaro],tirzepatide 25 MG/ML [Mounjaro],tirzepatide 15 MG/ML [Mounjaro],tirzepatide Auto-Injector [Mounjaro],tirzepatide Injection [Mounjaro],Mounjaro Injectable Product,0.5 ML tirzepatide 10 MG/ML Auto-Injector,0.5 ML tirzepatide 30 MG/ML Auto-Injector,0.5 ML tirzepatide 5 MG/ML Auto-Injector,0.5 ML tirzepatide 20 MG/ML Auto-Injector,0.5 ML tirzepatide 25 MG/ML Auto-Injector,0.5 ML tirzepatide 15 MG/ML Auto-Injector,0.5 ML tirzepatide 15 MG/ML Injection,0.5 ML tirzepatide 10 MG/ML Injection,0.5 ML tirzepatide 5 MG/ML Injection,0.5 ML tirzepatide 30 MG/ML Injection,0.5 ML tirzepatide 25 MG/ML Injection,0.5 ML tirzepatide 20 MG/ML Injection,tirzepatide 10 MG/ML,tirzepatide 30 MG/ML,tirzepatide 5 MG/ML,tirzepatide 20 MG/ML,tirzepatide 25 MG/ML,tirzepatide 15 MG/ML,tirzepatide Auto-Injector,tirzepatide Injection,tirzepatide Injectable Product",>=min,TRUE,9.5-10.0
RYBELSUS TAB,14.149604797363281,Rybelsus,"Rybelsus,Oral Tablet,Oral Product,Pill,semaglutide,semaglutide 14 MG Oral Tablet [Rybelsus],semaglutide 3 MG Oral Tablet [Rybelsus],semaglutide 7 MG Oral Tablet [Rybelsus],semaglutide 1.5 MG Oral Tablet [Rybelsus],semaglutide 4 MG Oral Tablet [Rybelsus],semaglutide 9 MG Oral Tablet [Rybelsus],semaglutide 14 MG [Rybelsus],semaglutide 3 MG [Rybelsus],semaglutide 7 MG [Rybelsus],semaglutide 1.5 MG [Rybelsus],semaglutide 4 MG [Rybelsus],semaglutide 9 MG [Rybelsus],semaglutide Oral Tablet [Rybelsus],Rybelsus Oral Product,Rybelsus Pill,semaglutide 14 MG Oral Tablet,semaglutide 3 MG Oral Tablet,semaglutide 7 MG Oral Tablet,semaglutide 1.5 MG Oral Tablet,semaglutide 4 MG Oral Tablet,semaglutide 9 MG Oral Tablet,semaglutide 14 MG,semaglutide 3 MG,semaglutide 7 MG,semaglutide 1.5 MG,semaglutide 4 MG,semaglutide 9 MG,semaglutide Oral Tablet,semaglutide Oral Product,semaglutide Pill",>=min,TRUE,9.5-10.0
